locationid,readingdate,dtwbelowcasing,wellname,current_stickup_height,measureby,conductivity,,,
71,08/16/2006 10:02,71.55,Snake Valley South MX,2.15,Stefan Kirby,,,,
73,08/16/2006 12:00,76.8,Eskdale MX,4.19,Stefan Kirby,,,,
70,08/16/2006 16:32,18.21,Snake Valley North MX,2.13,Stefan Kirby,,,,
74,08/17/2006 07:34,41.61,Baker Creek,0.79,Stefan Kirby,,,,
69,08/17/2006 09:40,42.42,Twin Springs MX,0.21,Stefan Kirby,,,,
74,10/13/2006 07:34,41.71,Baker Creek,0.79,Stefan Kirby,,,,
71,10/13/2006 10:02,71.57,Snake Valley South MX,2.15,Stefan Kirby,,,,
73,10/13/2006 12:38,77.52,Eskdale MX,4.19,Stefan Kirby,,,,
70,10/13/2006 13:19,18.22,Snake Valley North MX,2.13,Stefan Kirby,,,,
69,10/13/2006 14:10,42.33,Twin Springs MX,0.21,Stefan Kirby,,,,
71,12/15/2006 11:32,71.45,Snake Valley South MX,2.15,Stefan Kirby,,,,
74,12/15/2006 12:23,41.64,Baker Creek,0.79,Stefan Kirby,,,,
73,12/15/2006 12:38,77.25,Eskdale MX,4.19,Stefan Kirby,,,,
70,12/15/2006 13:19,17.98,Snake Valley North MX,2.13,Stefan Kirby,,,,
69,12/15/2006 14:23,42.33,Twin Springs MX,0.21,Stefan Kirby,,,,
71,01/18/2007 12:39,71.41,Snake Valley South MX,2.15,Stefan Kirby,,,,
70,01/18/2007 13:37,17.93,Snake Valley North MX,2.13,Stefan Kirby,,,,
69,01/18/2007 15:37,42.41,Twin Springs MX,0.21,Stefan Kirby,,,,
73,01/18/2007 16:11,77.06,Eskdale MX,4.19,Stefan Kirby,,,,
74,01/18/2007 16:42,41.62,Baker Creek,0.79,Stefan Kirby,,,,
72,02/27/2007 13:02,5.39,Needle Point BLM,1.9,Stefan Kirby,,,,
71,02/27/2007 13:47,71.37,Snake Valley South MX,2.15,Stefan Kirby,,,,
70,02/27/2007 14:41,17.89,Snake Valley North MX,2.13,Stefan Kirby,,,,
69,02/27/2007 15:27,42.44,Twin Springs MX,0.21,Stefan Kirby,,,,
73,02/27/2007 17:04,76.85,Eskdale MX,4.19,Stefan Kirby,,,,
74,02/27/2007 17:12,41.57,Baker Creek,0.79,Stefan Kirby,,,,
72,02/28/2007 08:13,5.39,Needle Point BLM,1.9,Stefan Kirby,,,,
72,05/14/2007 12:43,5.9,Needle Point BLM,1.9,Stefan Kirby,,,,
71,05/14/2007 13:42,71.33,Snake Valley South MX,2.15,Stefan Kirby,,,,
74,05/14/2007 14:34,41.7,Baker Creek,0.79,Stefan Kirby,,,,
70,05/14/2007 15:31,18.07,Snake Valley North MX,2.13,Stefan Kirby,,,,
73,05/14/2007 17:21,76.69,Eskdale MX,4.19,Stefan Kirby,,,,
69,05/15/2007 16:40,42.55,Twin Springs MX,0.21,Stefan Kirby,,,,
11,07/16/2007 12:00,52.09,PW05A,1.86,Stefan Kirby,,,,
12,07/16/2007 12:00,58,PW05B,1.63,Stefan Kirby,,,,
13,07/16/2007 12:00,45.7,PW05C,1.39,Stefan Kirby,,,,
71,07/18/2007 12:56,71.59,Snake Valley South MX,2.15,Stefan Kirby,,,,
72,07/18/2007 13:38,7.03,Needle Point BLM,1.9,Stefan Kirby,,,,
69,07/18/2007 15:10,42.62,Twin Springs MX,0.21,Stefan Kirby,,,,
73,07/18/2007 17:33,77.42,Eskdale MX,4.19,Stefan Kirby,,,,
70,07/18/2007 18:01,18.6,Snake Valley North MX,2.13,Stefan Kirby,,,,
74,07/18/2007 18:42,42.02,Baker Creek,0.79,Stefan Kirby,,,,
11,07/23/2007 12:00,52.03,PW05A,1.86,Stefan Kirby,,,,
12,07/23/2007 12:00,46.04,PW05B,1.63,Stefan Kirby,,,,
13,07/23/2007 12:00,35.21,PW05C,1.39,Stefan Kirby,,,,
19,08/15/2007 12:00,45.62,PW07A,1.6,Stefan Kirby,,,,
20,08/15/2007 12:00,47.43,PW07B,1.85,Stefan Kirby,,,,
1,08/23/2007 11:30,94.24,PW01A,2.58,Stefan Kirby,,,,
2,08/23/2007 11:35,95.4,PW01B,2.28,Stefan Kirby,,,,
3,08/23/2007 11:40,142.1,PW01C,2.18,Stefan Kirby,,,,
10,08/30/2007 10:34,593.56,PW04B,1.71,Stefan Kirby,,,,
9,08/30/2007 10:41,593.94,PW04A,2.02,Stefan Kirby,,,,
11,08/30/2007 12:00,52.07,PW05A,1.86,Stefan Kirby,,,,
12,08/30/2007 12:00,42.42,PW05B,1.63,Stefan Kirby,,,,
13,08/30/2007 12:00,35.28,PW05C,1.39,Stefan Kirby,,,,
3,08/30/2007 13:23,133.09,PW01C,2.18,Stefan Kirby,,,,
2,08/30/2007 13:24,94.22,PW01B,2.28,Stefan Kirby,,,,
1,08/30/2007 13:26,93.55,PW01A,2.58,Stefan Kirby,,,,
20,08/30/2007 15:50,47.55,PW07B,1.85,Stefan Kirby,,,,
19,08/30/2007 16:05,45.72,PW07A,1.6,Stefan Kirby,,,,
10,08/30/2007 17:46,593.56,PW04B,1.71,Stefan Kirby,,,,
9,08/30/2007 17:49,593.84,PW04A,2.02,Stefan Kirby,,,,
3,09/15/2007 07:00,132.65,PW01C,2.18,Stefan Kirby,,,,
6,09/15/2007 07:30,193.1,PW03A,2.2,Stefan Kirby,,,,
7,09/15/2007 07:30,196.3,PW03B,1.85,Stefan Kirby,,,,
7,09/22/2007 00:00,186.75,PW03B,1.85,Stefan Kirby,,,,
1,09/22/2007 12:00,93.1,PW01A,2.58,Stefan Kirby,,,,
2,09/22/2007 12:00,94.85,PW01B,2.28,Stefan Kirby,,,,
3,09/22/2007 12:00,133.65,PW01C,2.18,Stefan Kirby,,,,
6,09/22/2007 12:00,193.45,PW03A,2.2,Stefan Kirby,,,,
11,09/22/2007 12:00,52.1,PW05A,1.86,Stefan Kirby,,,,
12,09/22/2007 12:00,42.15,PW05B,1.63,Stefan Kirby,,,,
13,09/22/2007 12:00,34.25,PW05C,1.39,Stefan Kirby,,,,
14,09/22/2007 12:00,107.85,PW06A,1.12,Stefan Kirby,,,,
15,09/22/2007 12:00,107.7,PW06B,1.04,Stefan Kirby,,,,
19,09/22/2007 12:00,45.7,PW07A,1.6,Stefan Kirby,,,,
20,09/22/2007 12:00,47.45,PW07B,1.85,Stefan Kirby,,,,
7,09/27/2007 00:00,186.73,PW03B,1.85,Stefan Kirby,,,,
14,09/27/2007 10:00,107.85,PW06A,1.12,Stefan Kirby,,,,
15,09/27/2007 10:05,107.64,PW06B,1.04,Stefan Kirby,,,,
16,09/27/2007 10:10,107.4,PW06C,0.75,Stefan Kirby,,,,
1,09/27/2007 12:00,93.72,PW01A,2.58,Stefan Kirby,,,,
2,09/27/2007 12:00,94.11,PW01B,2.28,Stefan Kirby,,,,
3,09/27/2007 12:00,132.49,PW01C,2.18,Stefan Kirby,,,,
6,09/27/2007 12:00,193.41,PW03A,2.2,Stefan Kirby,,,,
11,09/27/2007 12:00,52.08,PW05A,1.86,Stefan Kirby,,,,
12,09/27/2007 12:00,42.08,PW05B,1.63,Stefan Kirby,,,,
13,09/27/2007 12:00,35.29,PW05C,1.39,Stefan Kirby,,,,
19,09/27/2007 12:00,45.72,PW07A,1.6,Stefan Kirby,,,,
20,09/27/2007 12:00,47.53,PW07B,1.85,Stefan Kirby,,,,
17,10/08/2007 17:00,108.28,PW06D,1.71,Stefan Kirby,,,,
7,10/23/2007 00:00,187.52,PW03B,1.85,Stefan Kirby,,,,
9,10/23/2007 00:00,593.9,PW04A,2.02,Stefan Kirby,,,,
10,10/23/2007 00:00,593.62,PW04B,1.71,Stefan Kirby,,,,
1,10/23/2007 12:00,93.45,PW01A,2.58,Stefan Kirby,,,,
2,10/23/2007 12:00,93.67,PW01B,2.28,Stefan Kirby,,,,
6,10/23/2007 12:00,192.58,PW03A,2.2,Stefan Kirby,,,,
11,10/23/2007 12:00,52.18,PW05A,1.86,Stefan Kirby,,,,
12,10/23/2007 12:00,42.21,PW05B,1.63,Stefan Kirby,,,,
13,10/23/2007 12:00,35.56,PW05C,1.39,Stefan Kirby,,,,
20,10/23/2007 12:00,47.74,PW07B,1.85,Stefan Kirby,,,,
14,10/24/2007 12:00,107.9,PW06A,1.12,Stefan Kirby,,,,
15,10/24/2007 12:00,107.68,PW06B,1.04,Stefan Kirby,,,,
16,10/24/2007 12:00,107.46,PW06C,0.75,Stefan Kirby,,,,
74,11/13/2007 14:00,42.24,Baker Creek,0.79,Stefan Kirby,,,,
69,11/13/2007 16:27,42.5,Twin Springs MX,0.21,Stefan Kirby,,,,
73,11/13/2007 16:27,77.77,Eskdale MX,4.19,Stefan Kirby,,,,
70,11/13/2007 17:34,18.53,Snake Valley North MX,2.13,Stefan Kirby,,,,
1,11/14/2007 07:53,93.29,PW01A,2.58,Stefan Kirby,,,,
2,11/14/2007 07:53,93.42,PW01B,2.28,Stefan Kirby,,,,
3,11/14/2007 07:53,131.4,PW01C,2.18,Stefan Kirby,,,,
71,11/14/2007 07:53,71.62,Snake Valley South MX,2.15,Stefan Kirby,,,,
72,11/14/2007 08:29,6.76,Needle Point BLM,1.9,Stefan Kirby,,,,
14,11/14/2007 12:00,107.95,PW06A,1.12,Stefan Kirby,,,,
15,11/14/2007 12:00,107.74,PW06B,1.04,Stefan Kirby,,,,
16,11/14/2007 12:00,107.53,PW06C,0.75,Stefan Kirby,,,,
17,11/14/2007 12:00,108.34,PW06D,1.71,Stefan Kirby,,,,
24,12/18/2007 17:30,175.47,PW09A,1.09,Stefan Kirby,,,,
25,12/18/2007 17:30,175.2,PW09B,1,Stefan Kirby,,,,
73,02/27/2008 11:48,77.47,Eskdale MX,4.19,Stefan Kirby,,,,
24,02/27/2008 12:05,175.25,PW09A,1.09,Stefan Kirby,,,,
25,02/27/2008 12:05,175.02,PW09B,1,Stefan Kirby,,,,
14,02/27/2008 12:42,107.98,PW06A,1.12,Stefan Kirby,,,,
15,02/27/2008 12:42,107.68,PW06B,1.04,Stefan Kirby,,,,
16,02/27/2008 12:42,107.43,PW06C,0.75,Stefan Kirby,,,,
17,02/27/2008 12:42,108.28,PW06D,1.71,Stefan Kirby,,,,
69,02/27/2008 14:45,42.45,Twin Springs MX,0.21,Stefan Kirby,,,,
70,02/27/2008 17:27,18.27,Snake Valley North MX,2.13,Stefan Kirby,,,,
74,02/28/2008 08:41,42.28,Baker Creek,0.79,Stefan Kirby,,,,
20,02/28/2008 09:11,47.82,PW07B,1.85,Stefan Kirby,,,,
19,02/28/2008 09:12,45.81,PW07A,1.6,Stefan Kirby,,,,
11,02/28/2008 09:49,52.25,PW05A,1.86,Stefan Kirby,,,,
12,02/28/2008 09:51,41.98,PW05B,1.63,Stefan Kirby,,,,
13,02/28/2008 09:51,35.71,PW05C,1.39,Stefan Kirby,,,,
1,02/28/2008 10:36,93,PW01A,2.58,Stefan Kirby,,,,
2,02/28/2008 10:36,93.01,PW01B,2.28,Stefan Kirby,,,,
3,02/28/2008 10:36,129.46,PW01C,2.18,Stefan Kirby,,,,
6,02/28/2008 11:08,197.29,PW03A,2.2,Stefan Kirby,,,,
7,02/28/2008 11:08,191.79,PW03B,1.85,Stefan Kirby,,,,
71,02/28/2008 12:01,71.45,Snake Valley South MX,2.15,Stefan Kirby,,,,
9,02/28/2008 14:41,593.72,PW04A,2.02,Stefan Kirby,,,,
10,02/28/2008 14:43,593.46,PW04B,1.71,Stefan Kirby,,,,
72,02/28/2008 15:43,5.89,Needle Point BLM,1.9,Stefan Kirby,,,,
136,03/29/2008 12:00,56.1,Callao Agricultural Well,0.69,Stefan Kirby,,,,
9,04/29/2008 08:11,593.58,PW04A,2.02,Stefan Kirby,,,,
10,04/29/2008 08:15,593.3,PW04B,1.71,Stefan Kirby,,,,
71,04/29/2008 10:12,71.35,Snake Valley South MX,2.15,Stefan Kirby,,,,
69,04/29/2008 13:32,42.41,Twin Springs MX,0.21,Stefan Kirby,,,,
15,04/29/2008 14:40,107.59,PW06B,1.04,Stefan Kirby,,,,
16,04/29/2008 14:40,107.33,PW06C,0.75,Stefan Kirby,,,,
17,04/29/2008 14:40,108.21,PW06D,1.71,Stefan Kirby,,,,
