"objectid","locationid","locationname","locationtype","locationdesc","huc8","huc12","altlocationcontext","altlocationid","latitude","longitude","horizontalaccmeasurevalue","horizontalaccmeasureunit","horizontalcollectionmethod","horizontalcoordrefsystem","verticalmeasure","verticalunit","verticalcollectionmethod","verticalcoordrefsystem","state","county","welltype","aquifername","wellformationtype","welldepthmeasureunit","attachmentfilename","wlnetworkname","wlbaseline","wlwelltype","wlwellcharacteristics","qwnetworkname","qwbaseline","qwwelltype","qwwellcharacteristics","link","nationalaquifer","welldepth","geology","priority","usgs_id","win","send","aquifertype","display","siteid","wrnum","linkgeophysicallog","imagepath","notes","linklithologiclog","linkdevelopmentlog","loggertype","baroefficiency","baroefficiencystart","locationdatatable","barologgertype","installdate","enddate","locstatus","personnel","inwqx","shape","stickup"
282,"384149109400902","CHWENT","Well","Entrada Completion of the Courthouse Wash Monitoring Wells","14030005","140300050204","Arches Monitoring Wells",138,"38.69690300","-109.66929200",1,"ft","GPS Carrier Phase Kinematic Relative Position","NAD83","4343.00000000","ft","Digital Elevation Model","NAVD88","UT","019","Monitoring","221ERAD","Sandstone Bedrock","ft",NULL,"Courthouse Wash",NULL,"Trend","Background","Arches Monitoring Wells",NULL,NULL,NULL,"http://www.waterrights.utah.gov/wellinfo/welldrilling/wlApplicationDetail.asp?apnum=1101002M00","N300COPLTS","880.00000000","Bedrock",NULL,"384149109400902",435519,"1",NULL,"1",101,"1101002M00","http://geology.utah.gov/databases/groundwater/images/courthousewash/435519-multi.pdf","courthouse wash.jpg","No water-level data collected from 6 Nov 2012 to 8 Apr 2013.","http://geology.utah.gov/databases/groundwater/images/courthousewash/CHWlithlog.pdf",NULL,"Solinst Levelogger Junior","0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"280000000100000001000400206900000C00000001000000AC8AD7B4AB039FFEC68CA80800000000","1.34000000"
283,"384149109400901","CHWNAV","Well","Navajo Completion of the Courthouse Wash Monitoring Wells","14030005","140300050204","Arches Monitoring Wells",139,"38.69690300","-109.66929200",1,"ft","GPS Carrier Phase Kinematic Relative Position","NAD83","4343.00000000","ft","Digital Elevation Model","NAVD88","UT","019","Monitoring"," 220NAVJ","Sandstone Bedrock","ft",NULL,"Courthouse Wash",NULL,"Trend","Background","Arches Monitoring Wells",NULL,NULL,NULL,"http://www.waterrights.utah.gov/wellinfo/welldrilling/wlApplicationDetail.asp?apnum=1101002M00","N300COPLTS","880.00000000","Bedrock",NULL,"384149109400901",435519,"1",NULL,"1",101,"1101002M00","http://geology.utah.gov/databases/groundwater/images/courthousewash/435519-multi.pdf","courthouse wash.jpg","No water-level data collected from 6 Nov 2012 to 8 Jan 2013.","http://geology.utah.gov/databases/groundwater/images/courthousewash/CHWlithlog.pdf",NULL,"Solinst Levelogger Junior","0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"280000000100000001000400206900000C00000001000000AC8AD7B4AB039FFEC68CA80800020000","1.74000000"
297,"410514111561601","B-16","Well",NULL,"16020102","160201020504",NULL,89,"41.08731112","-111.93768740",1,"ft","GPS Carrier Phase Kinematic Relative Position","NAD83","4651.00000000","ft","Digital Elevation Model","NAVD88","UT","011","Piezometer",NULL,NULL,"ft",NULL,"Hazards",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"51.32000000",NULL,NULL,NULL,NULL,"0",NULL,"1",42,NULL,NULL,"BeechwoodDr_B-16small.jpg",NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"280000000100000001000400206900000C0000000100000087CDFEF59C03A4BDDFEABB0800000000","-0.04000000"
298,"410457111562201","B-2","Well",NULL,"16020102","160201020504",NULL,90,"41.08256630","-111.93938579",1,"ft","GPS Carrier Phase Kinematic Relative Position","NAD83","4588.00000000","ft","Digital Elevation Model","NAVD88","UT","011","Piezometer",NULL,NULL,"ft",NULL,"Hazards",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"45.52000000",NULL,NULL,NULL,NULL,"0",NULL,"1",43,NULL,NULL,"HeatherDr_B-2small.jpg",NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"280000000100000001000400206900000C000000010000008E82CAF49C0388AEDEE5BB0800000000","0.57000000"
416,"393702111483501","F403 JUAB VALLEY USWR","River/Stream",NULL,"16020201","160202010101","Juab Valley USWR",NULL,"39.61714009","-111.80979743",10,"ft","GPS-Unspecified","NAD83","5856.40000000","ft","Digital Elevation Model","NAVD88","UT","023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Juab Valley",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"280000000100000001000400206900000C000000010000009BAB98CE9D038EEFB8D5AF0868233401",NULL
94,"392800112021801","P3002","Well","Mills Valley - 3002","16030005","160300050206","Mills Valley",3002,"39.46668800","-112.03833300",1,"ft","GPS Carrier Phase Kinematic Relative Position","NAD83","4914.00000000","ft","Digital Elevation Model","NAVD88","UT","023","Piezometer","100VLFL","Unconsolidated Sediment","ft",NULL,"Mills-Mona Wetlands",NULL,NULL,"Background","Mills/Mona Wetlands",NULL,NULL,NULL,NULL,"N100BSNRGB","4.00000000",NULL,NULL,NULL,NULL,"0",NULL,"1",-1,NULL,NULL,"wetlands/P3002.JPG",NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,"9062","2014-10-31 00:00:00",NULL,0,NULL,0,"280000000100000001000400206900000C00000001000000B98AA9919C038CEDF3B7AE08732F6772","1.00000000"
417,"393745111532101","I221 JUAB VALLEY USWR","River/Stream",NULL,"16030005","160300050203","Juab Valley USWR",NULL,"39.46241311","-111.88913843",10,"ft","GPS-Unspecified","NAD83","5367.31000000","ft","Digital Elevation Model","NAVD88","UT","023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Juab Valley",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"280000000100000001000400206900000C00000001000000A0EACF8B9D03BAA5A5B2AE0868233401",NULL
390,"411607111402701","ST-SFUSGS-092016 S.FORK @ USGS GAGING STA.","River/Stream",NULL,"16020102","160201020205","Ogden Valley",NULL,"41.26849234","-111.67403634",10,"ft","GPS-Unspecified","NAD83","5176.02000000","ft","Digital Elevation Model","NAVD88","UT","057",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ogden Valley",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"280000000100000001000400206900000C00000001000000B0FAD4CA9E03A0B0CEA8BD0868233401",NULL
110,"395632109384801","(D-10-20)15dcb-2","Well","3 Turkey","14060006","140600060405",NULL,NULL,"39.94213800","-109.64675300",10,"ft","GPS-Unspecified","NAD83","4850.02000000","ft","Digital Elevation Model","NAVD88","UT","047","Monitoring","110VLFL","Unconsolidated Sediment",NULL,"","","Yes","Trend","Background","UGS-NGWMN","Yes","Trend","Background","","300COPLTS",NULL,NULL,"UGS sample","3956331093846-02",NULL,"1","Confined","0",-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00000000",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"280000000100000001000400206900000C00000001000000ACB7D3B3AB039FE9E6B2B208B013D084",NULL
418,"392728111530301","I302 JUAB VALLEY USWR","River/Stream",NULL,"16030005","160300050204","Juab Valley USWR",NULL,"39.45776611","-111.88405843",10,"ft","GPS-Unspecified","NAD83","5434.84000000","ft","Digital Elevation Model","NAVD88","UT","023",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Juab Valley",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"280000000100000001000400206900000C000000010000009890DF8F9D03A9BEAAADAE0808000000",NULL
